seriesuid,coordX-error,coordY-error,coordZ-error,diameter_mm-error
LKDS-00340,47.0763825411,17.0646709324,0.0,4.297794082802149
LKDS-00340,68.9513825411,114.18532906760001,0.625,13.060171863395361
LKDS-00008,162.0602456100841,26.444918127620724,1.0000044139999886,0.34301768041718717
LKDS-00008,28.075823880042606,23.710542173946408,0.9999955860000114,3.4687505791293454
LKDS-00008,69.09146318515735,15.507414312923459,0.9999955860000114,4.313305718670971
LKDS-00008,53.36880145153003,12.773038359249142,4.413999988628348e-06,10.844608204592578
LKDS-00146,151.94182645362187,49.66215505969177,0.05831768300004114,5.910299412731934
LKDS-00311,21.985853040500004,0.06334459460000019,0.625,6.168005530068985
LKDS-00311,123.3266469595,44.5945945946,0.625,2.472845490744003
LKDS-00311,109.4858530405,4.7508445946,0.625,7.031756099035629
LKDS-00311,95.4233530405,79.6241554054,0.625,5.823869880010971
LKDS-00311,142.8578969595,72.7195945946,0.0,8.057606283853165
LKDS-00311,24.329603040500004,53.9695945946,0.0,5.823869880010971
LKDS-00311,29.576646959499996,59.4383445946,0.0,8.868242804238907
LKDS-00228,100.84301109173109,18.708578988803367,6.103999965034745e-06,10.221597331854175
LKDS-00228,100.11449510910322,23.07967488457058,1.000006103999965,11.967987912985157
LKDS-00228,32.47541372916888,25.993738815082054,1.000006103999965,8.503178495260547
LKDS-00228,50.688313294865594,31.821866676105003,1.000006103999965,13.086021798940967
LKDS-00228,77.53049964763929,29.636318728221397,1.000006103999965,7.403320211263965
LKDS-00228,11.348450232960687,35.464446589244346,1.000006103999965,6.377817529531788
LKDS-00228,135.0832622752409,65.33360187698696,1.000006103999965,6.89689169516914
LKDS-00228,130.82507138393115,130.90004031349514,1.000006103999965,10.298931020590137
LKDS-00228,124.26842754028033,158.58364765335415,1.000006103999965,1.3005675257170903
LKDS-00228,137.26881022312452,73.34727768589352,0.999993896000035,5.630654233785938
LKDS-00228,55.787925173260675,138.9137161224017,0.999993896000035,5.927582639547657
LKDS-00141,116.81721933382673,12.227383451339847,0.9999389649999557,16.5581074975591
LKDS-00141,151.68051274317426,4.1788722707060515,0.9999389649999557,9.278025748596699
LKDS-00210,58.90924270086717,38.19818532185241,2.441399999497662e-05,1.950555274563662
LKDS-00210,63.69440061979722,17.006771680876454,2.441399999497662e-05,1.387558510226377
LKDS-00367,125.15835711353434,7.208955672803214,0.0,11.25716985895547
LKDS-00367,138.79117676609172,48.685604902682016,0.0,12.850433214164648
LKDS-00367,86.30482110374582,18.011760684427927,1.25,8.85247836873618
LKDS-00367,4.507903188401585,22.10160658019514,1.25,9.712063653922948
LKDS-00367,114.09762778884756,40.60936382156878,1.25,7.159063203788671
LKDS-00367,84.25989815586222,31.6445803369853,1.25,14.424981458640966
LKDS-00367,23.43937709934103,27.554734441218088,1.25,2.3378151492842765
